nit,razon_social,ciiu,estado,fecha_corte,activo_corriente,activo_total,pasivo_corriente,pasivo_total,ganancias_acumuladas,patrimonio,ingresos,utilidad_operacional,utilidad_neta,anio
800021308,DRUMMOND LTD,B0510 - Extracción de hulla (carbón de piedra),ACTIVA,2018-12-31,1969293526.0,8333006622.0,1225162074.0,2790031022.0,689707719.0,5542975600.0,6061683220.0,598307632.0,290939104.0,2018
800021596,QUANTUM SAS,A0124 - Cultivo de caña de azúcar,ACTIVA,2018-12-31,5405999.0,96330573.0,975842.0,9894320.0,7790715.0,86436253.0,10902985.0,6819459.0,6772035.0,2018
800021599,COLIBRI FLOWERS SA,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,21923724.0,53991131.0,24893140.0,28341146.0,4660687.0,25649985.0,48503272.0,2200306.0,624528.0,2018
800022051,AGROPECUARIA LOS CUNAS S.A.S,A0122 - Cultivo de plátano y banano,ACTIVA,2018-12-31,2809314.0,35561910.0,2613528.0,5977140.0,6383216.0,29584770.0,11928421.0,620377.0,558064.0,2018
800022398,FLORES DE TENJO SAS CI,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,2040263.0,25313129.0,1559339.0,7529362.0,12141852.0,17783767.0,14489018.0,520599.0,-347994.0,2018
800023543,ACEITAR LTDA,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",ACTIVA,2018-12-31,1287064.0,2755828.0,1392478.0,1633876.0,860052.0,1121952.0,13207626.0,656799.0,595257.0,2018
800023551,CI INTERAMERICAN CONMINAS SAS,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",ACTIVA,2018-12-31,42825008.0,99855736.0,7173166.0,77163336.0,1799254.0,22692400.0,172593493.0,6191942.0,-1302977.0,2018
800023622,FLORES SILVESTRES S.A.,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,15052631.0,56527089.0,9280913.0,21250251.0,31069412.0,35276838.0,38246694.0,1218808.0,1945205.0,2018
800024265,EDITORIAL SANTILLANA SAS,J5811 - Edición de libros,ACTIVA,2018-12-31,20965719.0,23298292.0,6139302.0,6139302.0,8406506.0,17158990.0,15458918.0,2589182.0,2238251.0,2018
800025839,"VILLEGAS Y CIA S. EN C.S., EN REORGANIZACION",C1061 - Trilla de café,ACTIVA,2018-12-31,87184578.0,158666875.0,91290193.0,111256170.0,6871959.0,47410705.0,84630234.0,6471462.0,-7696077.0,2018
800026092,H.B FULLER COLOMBIA  S.A.S.,C2029 - Fabricación de otros productos químicos n.c.p.,ACTIVA,2018-12-31,45243883.0,67947992.0,14773837.0,14773837.0,44807107.0,53174155.0,87944257.0,13189623.0,8143338.0,2018
800026212,RICOH COLOMBIA S.A,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,ACTIVA,2018-12-31,44242964.0,61810432.0,12512256.0,12512256.0,-5839697.0,49298176.0,81952495.0,3888451.0,3451831.0,2018
800026696,"FONBIENES, COLOMBIA, S.A. SOCIEDAD ADMINISTRADORA DE PLANES DE AUTOFINANCIAMIENTO COMERCIAL",N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,ACTIVA,2018-12-31,28023414.0,31748690.0,26249686.0,28497629.0,484599.0,3251061.0,9802079.0,1084061.0,405815.0,2018
800026845,OCATI SA,G4631 - Comercio al por mayor de productos alimenticios,ACTIVA,2018-12-31,11545602.0,21240247.0,10844634.0,10971400.0,8241178.0,10268847.0,71446478.0,2550278.0,1347419.0,2018
800027543,UNIFLOR SOCIEDAD POR ACCIONES SIMPLIFICADA,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,17751387.0,42146493.0,2709813.0,18997084.0,3459878.0,23149409.0,21044950.0,2643581.0,622932.0,2018
800028206,"CONSTRUCTORA PARQUE CENTRAL S.A., EN REORGANIZACION",F4112 - Construcción de edificios no residenciales,ACTIVA,2018-12-31,44900131.0,65035942.0,19227819.0,65535586.0,-6378170.0,-499644.0,59937891.0,-2359063.0,-5530329.0,2018
800029447,GE ENERGY COLOMBIA SA,C2829 - Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,ACTIVA,2018-12-31,121571756.0,121957328.0,77982491.0,114200078.0,-97632198.0,7757250.0,79740461.0,-15661700.0,-17188284.0,2018
800029569,AUTOSUPERIOR S.A.S,G4511 - Comercio de vehículos automotores nuevos,ACTIVA,2018-12-31,29527360.0,35488516.0,17922368.0,20593648.0,2438829.0,14894868.0,81482295.0,-920395.0,-500523.0,2018
800030412,AKITA MOTOS SA,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",ACTIVA,2018-12-31,36798384.0,49665888.0,45932962.0,47388044.0,-9198250.0,2277844.0,50938119.0,3210328.0,594138.0,2018
800031797,BLASTINGMAR S.A.S EN REORGANIZACION,F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,ACUERDO DE REORGANIZACION,2018-12-31,38133284.0,47777611.0,22100897.0,52799736.0,-15328225.0,-5022125.0,55175683.0,5546336.0,3569270.0,2018
800031939,C I HOSA  S A,A0125 - Cultivo de flor de corte,ACUERDO DE REORGANIZACION,2018-12-31,30645202.0,121998422.0,16522513.0,133746881.0,-101112788.0,-11748459.0,61883977.0,2223198.0,-1424961.0,2018
800035851,APOYOS INDUSTRIALES S.A,N7830 - Otras actividades de suministro de recurso humano,ACTIVA,2018-12-31,3238720.0,3254736.0,2506057.0,2506057.0,212127.0,748679.0,8238459.0,-62626.0,-449871.0,2018
800039849,C.I. FLORES CARMEL S.A.S.,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,11375736.0,25582956.0,6885222.0,13954800.0,11017838.0,11628156.0,16542213.0,646790.0,128056.0,2018
800041007,PROVIMI S.A.,C1090 - Elaboración de alimentos preparados para animales,ACTIVA,2018-12-31,36796854.0,48795569.0,14335763.0,14444062.0,28914156.0,34351507.0,88693950.0,8878958.0,5494719.0,2018
