nit,razon_social,ciiu,estado,fecha_corte,activo_corriente,activo_total,pasivo_corriente,pasivo_total,ganancias_acumuladas,patrimonio,ingresos,utilidad_operacional,utilidad_neta,anio,razon_corriente,endeudamiento,apalancamiento,roa,margen_neto,margen_operacional,rotacion_activos,x1,x2,x3,x4,zscore,zona,zona_futura
800000755,COLOMBIANA DE TURISMO Y EXPRESOS SA,H4921 - Transporte de pasajeros,ACTIVA,2018-12-31,7965025.0,36619440.0,1213540.0,10265542.0,7849020.0,26353898.0,8669556.0,1351763.0,1351763.0,2018,6.563463091451456,0.2803303928186777,0.38952651330744315,0.036913808621868605,0.155920672292791,0.155920672292791,0.23674736697229667,0.18436887620345915,0.21434025206283874,0.036913808621868605,2.5672193440930835,4.8518501548562405,segura,segura
800003267,INTERGRAFIC DE OCCIDENTE SA,C1811 - Actividades de impresión,ACTIVA,2018-12-31,21658382.0,51176948.0,24480382.0,40402696.0,3568268.0,10774252.0,42692687.0,7407145.0,1342217.0,2018,0.8847240210549002,0.7894706030535467,3.7499304824130713,0.026226984071031356,0.031439037791179555,0.17349915220843326,0.8342171361996812,-0.05514201433035827,0.06972412657355026,0.14473596588839177,0.2666716102311588,1.118199920135333,gris,gris
800004599,COMERCIALIZADORA MARDEN LTDA,G4669 - Comercio al por mayor de otros productos n.c.p.,ACTIVA,2018-12-31,24429166.0,45214992.0,16865817.0,21995005.0,8223396.0,23219987.0,36123377.0,1036777.0,99489.0,2018,1.4484424916978524,0.4864538071797071,0.9472445010412797,0.002200354254181887,0.0027541444976199206,0.028700998801966936,0.7989247681388509,0.16727524799738988,0.18187321585725372,0.022929938813214874,1.0556936449889418,2.9527998266207174,segura,segura
800005260,INDUSTRIAS INVERSIONES Y SERVICIOS DELRIO S.A.S.,G4690 - Comercio al por mayor no especializado,ACTIVA,2018-12-31,49731005.0,56326646.0,11764542.0,13288208.0,8781672.0,43038438.0,76969515.0,10413690.0,7417673.0,2018,4.227194309816736,0.2359133544006863,0.30875209736933296,0.13169030160254883,0.09637156996506993,0.13529629230481705,1.3664849669905785,0.6740408970915825,0.15590617627046355,0.18488034952409557,3.2388443949703376,9.573144983083269,segura,segura
800005492,EDITORIAL TELEVISA COLOMBIA S.A,"J5813 - Edición de periódicos, revistas y otras publicaciones periódicas",ACTIVA,2018-12-31,2352939.0,10122822.0,14859350.0,15665921.0,-16548174.0,-5543099.0,6815544.0,-1731495.0,-1866374.0,2018,0.15834737051082315,1.5475843593812082,-2.8262026350241984,-0.18437289522625214,-0.27384079686082285,-0.2540508872072427,0.6732849792281244,-1.2354668490663967,-1.6347392061225614,-0.171048646316215,-0.3538316706690912,-14.95488249928262,riesgo,
800007193,SAPUGA S.A.,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,ACTIVA,2018-12-31,2484867.0,82868311.0,10174744.0,27450526.0,4496001.0,55417785.0,24808737.0,1595616.0,8419.0,2018,0.24421911745396246,0.3312548025746537,0.4953378414528838,0.00010159492691965207,0.00033935625179145555,0.06431669617038546,0.2993754391832603,-0.09279635251646434,0.05425476814653553,0.01925483916282546,2.018824156593575,1.817284355247141,gris,gris
800007202,ALTALENE,C2229 - Fabricación de artículos de plástico n.c.p.,ACTIVA,2018-12-31,15097205.0,31958039.0,12702203.0,14969205.0,1141497.0,16988834.0,29255299.0,1178748.0,-752945.0,2018,1.1885501278793922,0.4684018628301943,0.8811202110751097,-0.023560425594323857,-0.025737046816715153,0.040291777568227896,0.9154284779488504,0.07494208264781202,0.03571861840458984,0.03688424061313649,1.134918921879953,2.0475897230628375,gris,segura
800008151,ELECTRICOS IMPORTADOS S.A. EIMPSA,G4690 - Comercio al por mayor no especializado,ACTIVA,2018-12-31,21145274.0,33626824.0,18628998.0,22282920.0,4462736.0,11343904.0,40547515.0,862651.0,198412.0,2018,1.1350730726365423,0.6626531247791941,1.964307878486983,0.005900408554789474,0.0048933208360611,0.021275064575473984,1.2058086425289525,0.07482942784010765,0.13271357413950244,0.02565365673546809,0.5090851647809174,1.630459294608193,gris,gris
800010961,NORCARBON S A S EN REORGANIZACION,B0510 - Extracción de hulla (carbón de piedra),ACUERDO DE REORGANIZACION,2018-12-31,11744909.0,83869085.0,120610159.0,138906169.0,-132473395.0,-55037084.0,0.0,-2020834.0,-7063332.0,2018,0.09737910220315686,1.6562261171682033,-2.523864981654915,-0.08421854131352452,,,0.0,-1.298037888454369,-1.579525936165871,-0.024095100119430182,-0.39621770866058514,-14.242330767057583,riesgo,riesgo
800010983,PROTERRA HABITAT S A S,F4111 - Construcción de edificios residenciales,ACTIVA,2018-12-31,15044455.0,31667999.0,744234.0,5544234.0,15955286.0,26123765.0,2093373.0,2014091.0,1672509.0,2018,20.214683822561184,0.17507370768831967,0.2122295159216139,0.052813851610895905,0.7989541280985281,0.9621271507753276,0.06610373456182059,0.4515669272314932,0.5038299388603619,0.063600197789573,4.711879945904159,9.979631915668673,segura,segura
